Wall time,Step,Value
1618349446.163327,1,1.5127720832824707
1618349458.4683397,11,0.3154265284538269
1618349469.961537,21,0.15795056521892548
1618349481.334025,31,0.14502111077308655
1618349493.1621807,41,0.1480339765548706
1618349504.8357284,51,0.12388775497674942
1618349517.4114263,61,0.09464549273252487
1618349531.6368127,71,0.15663623809814453
1618349543.2544837,81,0.35776111483573914
1618349555.985429,91,0.1606728583574295
1618349569.9536426,101,0.484244704246521
1618349583.414639,111,0.17537181079387665
1618349595.839161,121,0.1315135657787323
1618349607.9717448,131,0.30634382367134094
1618349620.2642324,141,0.2849431037902832
1618349633.0482588,151,0.2202475666999817
1618349644.4332895,161,0.21489891409873962
1618349657.1217134,171,0.27361130714416504
1618349669.9770916,181,0.1864062398672104
1618349682.9382796,191,0.5323560833930969
1618349694.6421657,201,3.1587839126586914
1618349706.8514218,211,0.2039729207754135
1618349718.7705202,221,0.10753282904624939
1618349730.9793253,231,0.19807758927345276
1618349746.3151627,241,0.15449170768260956
